Date,Time,Class,RoadSection,Highway,Direction
2023-01-01,08:40,A2,中投交流道-霧峰交流道,國道3號,S
2023-01-01,03:55,A2,和美交流道-彰化系統交流道,國道3號,N
2023-01-07,06:15,A2,烏日交流道-中投交流道,國道3號,S
2023-01-09,12:20,A2,彰化系統交流道-快官交流道,國道3號,N
2023-01-20,07:50,A2,和美交流道-彰化系統交流道,國道3號,S
2023-01-25,14:05,A2,和美交流道-彰化系統交流道,國道3號,S
2023-01-23,08:10,A2,中興系統交流道-中興交流道,國道3號,S
2023-01-24,16:40,A2,中興交流道-南投交流道,國道3號,S
2023-01-25,13:20,A2,名間交流道-竹山交流道,國道3號,N
2023-01-27,20:30,A2,南投交流道-名間交流道,國道3號,N
2023-01-30,13:00,A2,名間交流道-竹山交流道,國道3號,S
2023-01-03,22:10,A2,沙鹿交流道-龍井交流道,國道3號,N
2023-01-05,09:40,A2,中港系統交流道-沙鹿交流道,國道3號,N
2023-01-13,10:35,A2,苑裡交流道-大甲交流道,國道3號,S
2023-01-11,15:55,A2,中港系統交流道-沙鹿交流道,國道3號,S
2023-01-14,07:10,A2,龍井交流道-和美交流道,國道3號,S
2023-01-12,13:15,A2,沙鹿交流道-龍井交流道,國道3號,N
2023-01-23,07:50,A2,龍井交流道-和美交流道,國道3號,S
2023-01-23,10:35,A2,沙鹿交流道-龍井交流道,國道3號,S
2023-01-02,01:25,A2,羅東交流道-蘇澳交流道,國道5號,S
2023-01-24,17:05,A2,石碇交流道-頭城交流道,國道5號,N
2023-01-05,05:30,A2,新店交流道-安坑交流道,國道3號,S
2023-01-09,17:15,A2,木柵交流道-新店交流道,國道3號,S
2023-01-12,13:00,A2,新店交流道-安坑交流道,國道3號,S
2023-01-13,14:25,A2,木柵交流道-新店交流道,國道3號,S
2023-01-14,18:00,A2,新店交流道-安坑交流道,國道3號,S
2023-01-21,22:40,A2,新店交流道-安坑交流道,國道3號,N
2023-01-22,08:50,A2,南深路出口匝道-木柵交流道,國道3號,N
2023-01-26,07:50,A2,南港交流道-南港系統交流道,國道3號,N
2023-01-26,15:40,A2,木柵交流道-新店交流道,國道3號,S
2023-01-22,13:55,A2,新店交流道-安坑交流道,國道3號,N
2023-01-12,22:20,A2,新台五路交流道-南港交流道,國道3號,N
2023-01-13,16:25,A2,基金交流道-瑪東系統交流道,國道3號,N
2023-01-16,09:10,A2,瑪東系統交流道-汐止系統交流道,國道3號,S
2023-01-17,17:50,A2,汐止系統交流道-新台五路交流道,國道3號,S
2023-01-21,11:30,A2,汐止系統交流道-新台五路交流道,國道3號,N
2023-01-01,18:10,A2,古坑交流道-梅山交流道,國道3號,N
2023-01-03,07:05,A2,竹山交流道-南雲交流道,國道3號,N
2023-01-13,19:10,A2,斗六交流道-古坑系統交流道,國道3號,N
2023-01-20,12:10,A2,古坑交流道-梅山交流道,國道3號,S
2023-01-31,16:00,A2,古坑交流道-梅山交流道,國道3號,S
2023-01-01,13:25,A2,竹崎交流道-中埔交流道,國道3號,S
2023-01-06,15:25,A2,柳營交流道-烏山頭交流道,國道3號,S
2023-01-11,06:00,A2,柳營交流道-烏山頭交流道,國道3號,N
2023-01-22,16:25,A2,中埔交流道-水上系統交流道,國道3號,S
2023-01-22,14:45,A2,烏山頭交流道-官田系統交流道,國道3號,S
2023-01-02,15:50,A2,關廟交流道-田寮交流道,國道3號,N
2023-01-18,10:15,A2,關廟交流道-田寮交流道,國道3號,S
2023-01-23,22:10,A2,新化系統交流道-關廟交流道,國道3號,S
