路段,事故數量,A1,A2,A3
三義交流道-后里交流道,496,0,29,467
三重交流道-五股轉接道,397,0,35,362
三鶯交流道-鶯歌系統交流道,307,1,39,267
下塔悠出口匝道-環北交流道(高架),125,0,9,116
下營系統交流道-麻豆交流道,158,0,19,139
中和交流道-土城交流道,934,1,79,854
中埔交流道-水上系統交流道,27,0,6,21
中壢交流道-平鎮系統交流道,270,0,27,243
中壢轉接道-中壢交流道,301,1,16,284
中壢轉接道-校前路交流道(高架),263,1,25,237
中投交流道-霧峰交流道,184,0,16,168
中港系統交流道-沙鹿交流道,258,0,16,242
中興交流道-南投交流道,99,0,9,90
中興系統交流道-中興交流道,40,0,5,35
九如交流道-屏東交流道,57,0,7,50
五堵交流道-汐止交流道,249,0,16,233
五甲交流道-高雄端,41,0,5,36
五甲系統交流道-五甲交流道,92,0,7,85
五股交流道-泰山轉接道,555,0,34,521
五股轉接道-五股交流道,504,0,37,467
五股轉接道-泰山轉接道(高架),92,0,15,77
仁德交流道-仁德系統交流道,160,0,19,141
仁德系統交流道-路竹交流道,564,0,28,536
內壢交流道-中壢轉接道,112,0,11,101
內湖交流道-圓山交流道,510,0,32,478
八堵交流道-大華系統交流道,77,0,7,70
北斗交流道-西螺交流道,652,0,24,628
南屯交流道-王田交流道,198,0,19,179
南州交流道-林邊交流道,12,0,1,11
南投交流道-名間交流道,235,0,15,220
南深路出口匝道-木柵交流道,348,0,50,298
南港交流道-南港系統交流道,148,0,21,127
南港系統交流道-石碇交流道,128,0,8,120
南雲交流道-斗六交流道,77,0,9,68
古坑交流道-梅山交流道,132,0,13,119
古坑系統交流道-古坑交流道,10,0,2,8
台中交流道-南屯交流道,107,2,7,98
台中系統交流道-豐原交流道,218,0,20,198
台北交流道-三重交流道,251,0,14,237
台南系統交流道-永康交流道,285,0,31,254
名間交流道-竹山交流道,67,0,7,60
后里交流道-台中系統交流道,206,0,15,191
和美交流道-彰化系統交流道,317,0,20,297
員林交流道-北斗交流道,394,0,41,353
善化交流道-新化系統交流道,39,1,7,31
嘉義交流道-水上交流道,109,0,14,95
嘉義系統交流道-新營交流道,422,1,44,377
圓山交流道-台北交流道,451,0,41,410
土城交流道-樹林交流道,581,0,50,531
埔鹽系統交流道-員林交流道,230,0,19,211
基金交流道-瑪東系統交流道,66,0,9,57
基隆交流道-八堵交流道,19,0,3,16
基隆端-基隆交流道,30,0,6,24
堤頂交流道-下塔悠出口匝道(高架),162,0,13,149
大山交流道-後龍交流道,97,3,4,90
大林交流道-民雄交流道,126,0,17,109
大溪交流道-龍潭交流道,356,0,26,330
大灣交流道-仁德交流道,161,0,17,144
大甲交流道-中港系統交流道,98,0,14,84
大華系統交流道-五堵交流道,60,1,3,56
大雅交流道-台中交流道,267,0,21,246
安坑交流道-中和交流道,376,0,31,345
安定交流道-台南系統交流道,210,0,18,192
官田系統交流道-善化交流道,65,0,9,56
宜蘭交流道-羅東交流道,55,0,8,47
寶山交流道-新竹系統交流道,103,0,13,90
屏東交流道-長治交流道,21,0,8,13
岡山交流道-楠梓交流道,523,0,48,475
崁頂交流道-南州交流道,75,0,4,71
平鎮系統交流道-幼獅交流道,87,0,9,78
幼獅交流道-楊梅交流道,66,0,5,61
彰化交流道-埔鹽系統交流道,457,2,40,415
彰化系統交流道-彰化交流道,409,0,32,377
彰化系統交流道-快官交流道,119,2,9,108
後龍交流道-通霄交流道,329,1,20,308
快官交流道-烏日交流道,162,0,9,153
斗六交流道-古坑系統交流道,75,1,13,61
斗南交流道-雲林系統交流道,90,0,11,79
新化系統交流道-關廟交流道,156,0,15,141
新台五路交流道-南港交流道,82,0,8,74
新店交流道-安坑交流道,267,1,37,229
新營交流道-下營系統交流道,246,0,33,213
新竹交流道-新竹系統交流道,245,0,21,224
新竹系統交流道-茄苳交流道,177,0,12,165
新竹系統交流道-頭份交流道,278,1,30,247
木柵交流道-新店交流道,225,0,36,189
東湖交流道-內湖交流道,192,1,10,181
林口交流道-桃園交流道,818,0,92,726
柳營交流道-烏山頭交流道,72,0,11,61
桃園交流道-機場系統交流道,478,1,51,426
梅山交流道-竹崎交流道,81,0,17,64
楊梅交流道-高架道路楊梅端,164,0,18,146
楠梓交流道-鼎金系統交流道,420,0,35,385
樹林交流道-三鶯交流道,272,0,23,249
機場系統交流道-中壢轉接道(高架),174,0,22,152
