設施名稱,里程K+000,位置座標X,位置座標Y
基隆端,0,121.7357847,25.12289475
基隆交流道,1,121.7291954,25.11624361
八堵交流道,2,121.7208964,25.10352948
大華系統交流道,5,121.6998019,25.09737331
五堵交流道,6,121.6891821,25.08717804
汐止交流道,10,121.6595722,25.07620489
汐止系統交流道,11,121.6501888,25.07349255
高架道路汐止端,13,121.6319309,25.06737036
東湖交流道,15,121.6122269,25.06546641
內湖交流道,17,121.5925755,25.06426095
圓山交流道,23,121.5347942,25.07272365
台北交流道,25,121.5159356,25.0777018
三重交流道,27,121.4963558,25.07624319
五股轉接道,32,121.4482028,25.07155791
五股交流道,33,121.4387233,25.0689425
泰山轉接道,35,121.4200515,25.06432899
林口交流道,41,121.3679706,25.06514866
桃園交流道,49,121.298787,25.03845775
機場系統交流道,52,121.2761388,25.02101122
內壢交流道,57,121.2396036,24.99061069
中壢轉接道,59,121.2256352,24.9778239
中壢交流道,62,121.2030334,24.96030804
平鎮系統交流道,65,121.1901397,24.93639386
幼獅交流道,67,121.1733637,24.92718837
楊梅交流道,69,121.1651838,24.91101284
高架道路楊梅端,71,121.1509276,24.90029254
湖口交流道,83,121.0376998,24.87698708
竹北交流道,91,121.0177405,24.82443422
新竹交流道,95,121.0056431,24.79035455
新竹系統交流道,99,120.991108,24.76022991
頭份交流道,110,120.9204543,24.69508381
頭屋交流道,125,120.8600223,24.5837146
苗栗交流道,132,120.8265387,24.52955403
銅鑼交流道,140,120.7846848,24.47732975
三義交流道,150,120.7593038,24.39428193
后里交流道,160,120.7055543,24.31920936
台中系統交流道,165,120.6934917,24.27592562
豐原交流道,168,120.6902817,24.24899858
大雅交流道,174,120.6592553,24.20690625
台中交流道,178,120.6341737,24.18073201
南屯交流道,181,120.6203043,24.15733334
王田交流道,189,120.5834448,24.11881014
彰化系統交流道,192,120.5605228,24.10455323
彰化交流道,198,120.5225955,24.06930461
埔鹽系統交流道,207,120.5088609,23.98980878
員林交流道,211,120.5064249,23.95391754
北斗交流道,220,120.4903741,23.8746875
西螺交流道,230,120.4773134,23.78599378
虎尾交流道,235,120.4684948,23.74239635
斗南交流道,240,120.4736798,23.69847431
雲林系統交流道,243,120.4603872,23.67438604
大林交流道,250,120.4376788,23.61528905
民雄交流道,257,120.4165441,23.55558617
嘉義交流道,264,120.3934868,23.49696676
水上交流道,270,120.3695749,23.44823427
嘉義系統交流道,272,120.3596575,23.43269152
新營交流道,288,120.2930935,23.31070546
下營系統交流道,299,120.2409172,23.22447323
麻豆交流道,303,120.2362361,23.18882785
安定交流道,311,120.2429816,23.11913024
台南系統交流道,315,120.2516511,23.08400376
永康交流道,319,120.2525837,23.04798005
大灣交流道,324,120.2481102,23.00345807
仁德交流道,327,120.2487732,22.97638686
仁德系統交流道,330,120.2488578,22.9494211
路竹交流道,338,120.2775646,22.88262041
高科交流道,342,120.2928921,22.8494585
岡山交流道,349,120.3194424,22.79205719
楠梓交流道,356,120.3342375,22.73122313
鼎金系統交流道,362,120.3288055,22.67772422
高雄交流道,367,120.3368105,22.6337676
瑞隆路出口匝道,369,120.3374125,22.61581399
五甲系統交流道,370,120.3405737,22.60730302
五甲交流道,372,120.3355715,22.59155726
高雄端,374,120.3175881,22.578097
,,,
,,,
,,,
