roadsection,highway,direction,midpoint,from_mil,to_mil,nearest_gantry1,nearest_gantry2
基隆端-基隆交流道,國道1號,N,0.5,1,0,01F0005N,01F0017N
基隆端-基隆交流道,國道1號,S,0.5,0,1,01F0005S,01F0017S
基隆交流道-八堵交流道,國道1號,N,1.5,2,1,01F0017N,01F0005N
基隆交流道-八堵交流道,國道1號,S,1.5,1,2,01F0017S,01F0005S
八堵交流道-大華系統交流道,國道1號,N,3.5,5,2,01F0029N,01F0017N
八堵交流道-大華系統交流道,國道1號,S,3.5,2,5,01F0029S,01F0017S
大華系統交流道-五堵交流道,國道1號,N,5.5,6,5,01F0061N,01F0029N
大華系統交流道-五堵交流道,國道1號,S,5.5,5,6,01F0061S,01F0029S
五堵交流道-汐止交流道,國道1號,N,8.0,10,6,01F0061N,01F0099N
五堵交流道-汐止交流道,國道1號,S,8.0,6,10,01F0061S,01F0099S
汐止交流道-汐止系統交流道,國道1號,N,10.5,11,10,01F0099N,01F0147N
汐止交流道-汐止系統交流道,國道1號,S,10.5,10,11,01F0099S,01F0147S
汐止系統交流道-高架道路汐止端,國道1號,N,12.0,13,11,01F0099N,01F0147N
汐止系統交流道-高架道路汐止端,國道1號,S,12.0,11,13,01F0099S,01F0147S
高架道路汐止端-東湖交流道,國道1號,N,14.0,15,13,01F0147N,01F0155N
高架道路汐止端-東湖交流道,國道1號,S,14.0,13,15,01F0147S,01F0155S
東湖交流道-內湖交流道,國道1號,N,16.0,17,15,01F0155N,01F0147N
東湖交流道-內湖交流道,國道1號,S,16.0,15,17,01F0155S,01F0147S
內湖交流道-圓山交流道,國道1號,N,20.0,23,17,01F0213N,01F0233N
內湖交流道-圓山交流道,國道1號,S,20.0,17,23,01F0182S,01F0155S
圓山交流道-台北交流道,國道1號,N,24.0,25,23,01F0233N,01F0256N
圓山交流道-台北交流道,國道1號,S,24.0,23,25,01F0248S,01F0264S
台北交流道-三重交流道,國道1號,N,26.0,27,25,01F0256N,01F0233N
台北交流道-三重交流道,國道1號,S,26.0,25,27,01F0264S,01F0248S
三重交流道-五股轉接道,國道1號,N,29.5,32,27,01F0293N,01F0256N
三重交流道-五股轉接道,國道1號,S,29.5,27,32,01F0293S,01F0264S
五股轉接道-五股交流道,國道1號,N,32.5,33,32,01F0339N,01F0293N
五股轉接道-五股交流道,國道1號,S,32.5,32,33,01F0339S,01F0293S
五股交流道-泰山轉接道,國道1號,N,34.0,35,33,01F0339N,01F0376N
五股交流道-泰山轉接道,國道1號,S,34.0,33,35,01F0339S,01F0376S
泰山轉接道-林口交流道,國道1號,N,38.0,41,35,01F0376N,01F0413N
泰山轉接道-林口交流道,國道1號,S,38.0,35,41,01F0376S,01F0413S
林口交流道-桃園交流道,國道1號,N,45.0,49,41,01F0467N,01F0413N
林口交流道-桃園交流道,國道1號,S,45.0,41,49,01F0467S,01F0413S
桃園交流道-機場系統交流道,國道1號,N,50.5,52,49,01F0511N,01F0492N
桃園交流道-機場系統交流道,國道1號,S,50.5,49,52,01F0511S,01F0492S
機場系統交流道-內壢交流道,國道1號,N,54.5,57,52,01F0557N,01F0532N
機場系統交流道-內壢交流道,國道1號,S,54.5,52,57,01F0557S,01F0532S
內壢交流道-中壢轉接道,國道1號,N,58.0,59,57,01F0584N,01F0557N
內壢交流道-中壢轉接道,國道1號,S,58.0,57,59,01F0578S,01F0557S
中壢轉接道-中壢交流道,國道1號,N,60.5,62,59,01F0584N,01F0633N
中壢轉接道-中壢交流道,國道1號,S,60.5,59,62,01F0578S,01F0633S
中壢交流道-平鎮系統交流道,國道1號,N,63.5,65,62,01F0633N,01F0664N
中壢交流道-平鎮系統交流道,國道1號,S,63.5,62,65,01F0633S,01F0664S
平鎮系統交流道-幼獅交流道,國道1號,N,66.0,67,65,01F0664N,01F0681N
平鎮系統交流道-幼獅交流道,國道1號,S,66.0,65,67,01F0664S,01F0681S
幼獅交流道-楊梅交流道,國道1號,N,68.0,69,67,01F0681N,01F0664N
幼獅交流道-楊梅交流道,國道1號,S,68.0,67,69,01F0681S,01F0664S
楊梅交流道-高架道路楊梅端,國道1號,N,70.0,71,69,01F0699N,01F0681N
楊梅交流道-高架道路楊梅端,國道1號,S,70.0,69,71,01F0699S,01F0681S
高架道路楊梅端-湖口交流道,國道1號,N,77.0,83,71,01F0750N,01F0699N
高架道路楊梅端-湖口交流道,國道1號,S,77.0,71,83,01F0750S,01F0699S
湖口交流道-竹北交流道,國道1號,N,87.0,91,83,01F0880N,01F0928N
湖口交流道-竹北交流道,國道1號,S,87.0,83,91,01F0880S,01F0928S
竹北交流道-新竹交流道,國道1號,N,93.0,95,91,01F0928N,01F0956N
竹北交流道-新竹交流道,國道1號,S,93.0,91,95,01F0928S,01F0950S
新竹交流道-新竹系統交流道,國道1號,N,97.0,99,95,01F0979N,01F0956N
新竹交流道-新竹系統交流道,國道1號,S,97.0,95,99,01F0980S,01F0950S
新竹系統交流道-頭份交流道,國道1號,N,104.5,110,99,01F1045N,01F0979N
新竹系統交流道-頭份交流道,國道1號,S,104.5,99,110,01F1045S,01F0980S
頭份交流道-頭屋交流道,國道1號,N,117.5,125,110,01F1123N,01F1292N
頭份交流道-頭屋交流道,國道1號,S,117.5,110,125,01F1123S,01F1292S
頭屋交流道-苗栗交流道,國道1號,N,128.5,132,125,01F1292N,01F1389N
頭屋交流道-苗栗交流道,國道1號,S,128.5,125,132,01F1292S,01F1389S
苗栗交流道-銅鑼交流道,國道1號,N,136.0,140,132,01F1389N,01F1292N
苗栗交流道-銅鑼交流道,國道1號,S,136.0,132,140,01F1389S,01F1292S
銅鑼交流道-三義交流道,國道1號,N,145.0,150,140,01F1465N,01F1389N
銅鑼交流道-三義交流道,國道1號,S,145.0,140,150,01F1465S,01F1389S
三義交流道-后里交流道,國道1號,N,155.0,160,150,01F1572N,01F1621N
三義交流道-后里交流道,國道1號,S,155.0,150,160,01F1572S,01F1621S
后里交流道-台中系統交流道,國道1號,N,162.5,165,160,01F1621N,01F1664N
后里交流道-台中系統交流道,國道1號,S,162.5,160,165,01F1621S,01F1664S
