TimeInterval,RoadSection,Direction,VehicleType,TrafficVolume,PCU
2024-02-27 15:35,基隆端-基隆交流道,北上,小客車,80,
2024-02-27 15:35,基隆端-基隆交流道,北上,小貨車,33,
2024-02-27 15:35,基隆端-基隆交流道,北上,大客車,6,
2024-02-27 15:35,基隆端-基隆交流道,北上,大貨車,3,
2024-02-27 15:35,基隆端-基隆交流道,北上,聯結車,0,125.6
2024-02-27 15:35,基隆端-基隆交流道,南下,小客車,104,
2024-02-27 15:35,基隆端-基隆交流道,南下,小貨車,44,
2024-02-27 15:35,基隆端-基隆交流道,南下,大客車,2,
2024-02-27 15:35,基隆端-基隆交流道,南下,大貨車,0,
2024-02-27 15:35,基隆端-基隆交流道,南下,聯結車,0,150.8
2024-02-27 15:35,基隆交流道-八堵交流道,北上,小客車,91,
2024-02-27 15:35,基隆交流道-八堵交流道,北上,小貨車,29,
2024-02-27 15:35,基隆交流道-八堵交流道,北上,大客車,6,
2024-02-27 15:35,基隆交流道-八堵交流道,北上,大貨車,3,
2024-02-27 15:35,基隆交流道-八堵交流道,北上,聯結車,0,132.6
2024-02-27 15:35,基隆交流道-八堵交流道,南下,小客車,92,
2024-02-27 15:35,基隆交流道-八堵交流道,南下,小貨車,42,
2024-02-27 15:35,基隆交流道-八堵交流道,南下,大客車,3,
2024-02-27 15:35,基隆交流道-八堵交流道,南下,大貨車,1,
2024-02-27 15:35,基隆交流道-八堵交流道,南下,聯結車,2,142.4
2024-02-27 15:35,八堵交流道-大華系統交流道,北上,小客車,116,
2024-02-27 15:35,八堵交流道-大華系統交流道,北上,小貨車,37,
2024-02-27 15:35,八堵交流道-大華系統交流道,北上,大客車,7,
2024-02-27 15:35,八堵交流道-大華系統交流道,北上,大貨車,2,
2024-02-27 15:35,八堵交流道-大華系統交流道,北上,聯結車,1,167.0
2024-02-27 15:35,八堵交流道-大華系統交流道,南下,小客車,108,
2024-02-27 15:35,八堵交流道-大華系統交流道,南下,小貨車,47,
2024-02-27 15:35,八堵交流道-大華系統交流道,南下,大客車,4,
2024-02-27 15:35,八堵交流道-大華系統交流道,南下,大貨車,5,
2024-02-27 15:35,八堵交流道-大華系統交流道,南下,聯結車,2,170.4
2024-02-27 15:35,五堵交流道-汐止交流道,北上,小客車,166,
2024-02-27 15:35,五堵交流道-汐止交流道,北上,小貨車,72,
2024-02-27 15:35,五堵交流道-汐止交流道,北上,大客車,7,
2024-02-27 15:35,五堵交流道-汐止交流道,北上,大貨車,6,
2024-02-27 15:35,五堵交流道-汐止交流道,北上,聯結車,12,273.0
2024-02-27 15:35,五堵交流道-汐止交流道,南下,小客車,158,
2024-02-27 15:35,五堵交流道-汐止交流道,南下,小貨車,69,
2024-02-27 15:35,五堵交流道-汐止交流道,南下,大客車,9,
2024-02-27 15:35,五堵交流道-汐止交流道,南下,大貨車,10,
2024-02-27 15:35,五堵交流道-汐止交流道,南下,聯結車,10,267.6
2024-02-27 15:35,五堵交流道-汐止交流道,北上,小客車,177,
2024-02-27 15:35,五堵交流道-汐止交流道,北上,小貨車,75,
2024-02-27 15:35,五堵交流道-汐止交流道,北上,大客車,5,
2024-02-27 15:35,五堵交流道-汐止交流道,北上,大貨車,7,
2024-02-27 15:35,五堵交流道-汐止交流道,北上,聯結車,14,288.4
2024-02-27 15:35,五堵交流道-汐止交流道,南下,小客車,166,
2024-02-27 15:35,五堵交流道-汐止交流道,南下,小貨車,77,
2024-02-27 15:35,五堵交流道-汐止交流道,南下,大客車,17,
2024-02-27 15:35,五堵交流道-汐止交流道,南下,大貨車,7,
2024-02-27 15:35,五堵交流道-汐止交流道,南下,聯結車,8,287.8
2024-02-27 15:35,高架道路汐止端-東湖交流道,北上,小客車,159,
2024-02-27 15:35,高架道路汐止端-東湖交流道,北上,小貨車,52,
2024-02-27 15:35,高架道路汐止端-東湖交流道,北上,大客車,4,
2024-02-27 15:35,高架道路汐止端-東湖交流道,北上,大貨車,22,
2024-02-27 15:35,高架道路汐止端-東湖交流道,北上,聯結車,22,278.2
2024-02-27 15:35,高架道路汐止端-東湖交流道,南下,小客車,149,
2024-02-27 15:35,高架道路汐止端-東湖交流道,南下,小貨車,47,
2024-02-27 15:35,高架道路汐止端-東湖交流道,南下,大客車,14,
2024-02-27 15:35,高架道路汐止端-東湖交流道,南下,大貨車,12,
2024-02-27 15:35,高架道路汐止端-東湖交流道,南下,聯結車,11,247.8
2024-02-27 15:35,東湖交流道-內湖交流道,北上,小客車,197,
2024-02-27 15:35,東湖交流道-內湖交流道,北上,小貨車,66,
2024-02-27 15:35,東湖交流道-內湖交流道,北上,大客車,5,
2024-02-27 15:35,東湖交流道-內湖交流道,北上,大貨車,19,
2024-02-27 15:35,東湖交流道-內湖交流道,北上,聯結車,22,327.4
2024-02-27 15:35,東湖交流道-內湖交流道,南下,小客車,217,
2024-02-27 15:35,東湖交流道-內湖交流道,南下,小貨車,71,
2024-02-27 15:35,東湖交流道-內湖交流道,南下,大客車,13,
2024-02-27 15:35,東湖交流道-內湖交流道,南下,大貨車,14,
2024-02-27 15:35,東湖交流道-內湖交流道,南下,聯結車,12,342.6
2024-02-27 15:35,內湖交流道-圓山交流道,南下,小客車,196,
2024-02-27 15:35,內湖交流道-圓山交流道,南下,小貨車,61,
2024-02-27 15:35,內湖交流道-圓山交流道,南下,大客車,4,
2024-02-27 15:35,內湖交流道-圓山交流道,南下,大貨車,26,
2024-02-27 15:35,內湖交流道-圓山交流道,南下,聯結車,13,317.2
2024-02-27 15:35,內湖交流道-圓山交流道,北上,小客車,144,
2024-02-27 15:35,內湖交流道-圓山交流道,北上,小貨車,79,
2024-02-27 15:35,內湖交流道-圓山交流道,北上,大客車,5,
2024-02-27 15:35,內湖交流道-圓山交流道,北上,大貨車,15,
2024-02-27 15:35,內湖交流道-圓山交流道,北上,聯結車,19,277.6
2024-02-27 15:35,圓山交流道-台北交流道,北上,小客車,330,
2024-02-27 15:35,圓山交流道-台北交流道,北上,小貨車,127,
2024-02-27 15:35,圓山交流道-台北交流道,北上,大客車,3,
2024-02-27 15:35,圓山交流道-台北交流道,北上,大貨車,20,
2024-02-27 15:35,圓山交流道-台北交流道,北上,聯結車,17,513.0
2024-02-27 15:35,圓山交流道-台北交流道,南下,小客車,256,
2024-02-27 15:35,圓山交流道-台北交流道,南下,小貨車,95,
2024-02-27 15:35,圓山交流道-台北交流道,南下,大客車,4,
2024-02-27 15:35,圓山交流道-台北交流道,南下,大貨車,29,
2024-02-27 15:35,圓山交流道-台北交流道,南下,聯結車,21,426.6
2024-02-27 15:35,台北交流道-三重交流道,北上,小客車,303,
2024-02-27 15:35,台北交流道-三重交流道,北上,小貨車,83,
2024-02-27 15:35,台北交流道-三重交流道,北上,大客車,7,
2024-02-27 15:35,台北交流道-三重交流道,北上,大貨車,21,
2024-02-27 15:35,台北交流道-三重交流道,北上,聯結車,20,453.2
2024-02-27 15:35,台北交流道-三重交流道,南下,小客車,242,
2024-02-27 15:35,台北交流道-三重交流道,南下,小貨車,78,
2024-02-27 15:35,台北交流道-三重交流道,南下,大客車,5,
2024-02-27 15:35,台北交流道-三重交流道,南下,大貨車,18,
2024-02-27 15:35,台北交流道-三重交流道,南下,聯結車,17,376.0
2024-02-27 15:35,三重交流道-五股轉接道,北上,小客車,293,
2024-02-27 15:35,三重交流道-五股轉接道,北上,小貨車,98,
2024-02-27 15:35,三重交流道-五股轉接道,北上,大客車,11,
2024-02-27 15:35,三重交流道-五股轉接道,北上,大貨車,16,
2024-02-27 15:35,三重交流道-五股轉接道,北上,聯結車,22,459.6
2024-02-27 15:35,三重交流道-五股轉接道,南下,小客車,237,
2024-02-27 15:35,三重交流道-五股轉接道,南下,小貨車,86,
2024-02-27 15:35,三重交流道-五股轉接道,南下,大客車,12,
