TimeInterval,GantryID,Direction,VehicleType,交通量
2024-02-27 13:35,基隆-基隆端,北上,小客車,78
2024-02-27 13:35,基隆-基隆端,北上,小貨車,36
2024-02-27 13:35,基隆-基隆端,北上,大客車,3
2024-02-27 13:35,基隆-基隆端,北上,大貨車,2
2024-02-27 13:35,基隆-基隆端,北上,聯結車,0
2024-02-27 13:35,基隆端-基隆,南下,小客車,96
2024-02-27 13:35,基隆端-基隆,南下,小貨車,34
2024-02-27 13:35,基隆端-基隆,南下,大客車,2
2024-02-27 13:35,基隆端-基隆,南下,大貨車,2
2024-02-27 13:35,基隆端-基隆,南下,聯結車,0
2024-02-27 13:35,八堵-基隆,北上,小客車,72
2024-02-27 13:35,八堵-基隆,北上,小貨車,26
2024-02-27 13:35,八堵-基隆,北上,大客車,2
2024-02-27 13:35,八堵-基隆,北上,大貨車,1
2024-02-27 13:35,八堵-基隆,北上,聯結車,0
2024-02-27 13:35,基隆-八堵,南下,小客車,75
2024-02-27 13:35,基隆-八堵,南下,小貨車,32
2024-02-27 13:35,基隆-八堵,南下,大客車,4
2024-02-27 13:35,基隆-八堵,南下,大貨車,1
2024-02-27 13:35,基隆-八堵,南下,聯結車,6
2024-02-27 13:35,大華系統-八堵,北上,小客車,83
2024-02-27 13:35,大華系統-八堵,北上,小貨車,33
2024-02-27 13:35,大華系統-八堵,北上,大客車,3
2024-02-27 13:35,大華系統-八堵,北上,大貨車,2
2024-02-27 13:35,大華系統-八堵,北上,聯結車,0
2024-02-27 13:35,八堵-大華系統,南下,小客車,111
2024-02-27 13:35,八堵-大華系統,南下,小貨車,44
2024-02-27 13:35,八堵-大華系統,南下,大客車,6
2024-02-27 13:35,八堵-大華系統,南下,大貨車,3
2024-02-27 13:35,八堵-大華系統,南下,聯結車,5
2024-02-27 13:35,五堵-大華系統,北上,小客車,127
2024-02-27 13:35,五堵-大華系統,北上,小貨車,59
2024-02-27 13:35,五堵-大華系統,北上,大客車,3
2024-02-27 13:35,五堵-大華系統,北上,大貨車,15
2024-02-27 13:35,五堵-大華系統,北上,聯結車,15
2024-02-27 13:35,大華系統-五堵,南下,小客車,159
2024-02-27 13:35,大華系統-五堵,南下,小貨車,76
2024-02-27 13:35,大華系統-五堵,南下,大客車,7
2024-02-27 13:35,大華系統-五堵,南下,大貨車,15
