TimeInterval,GantryID,Direction,VehicleType,TrafficVolume,PCU
2024-02-27 15:35,基隆-基隆端,北上,小客車,89,
2024-02-27 15:35,基隆-基隆端,北上,小貨車,31,
2024-02-27 15:35,基隆-基隆端,北上,大客車,4,
2024-02-27 15:35,基隆-基隆端,北上,大貨車,1,
2024-02-27 15:35,基隆-基隆端,北上,聯結車,2,129.8
2024-02-27 15:35,基隆端-基隆,南下,小客車,88,
2024-02-27 15:35,基隆端-基隆,南下,小貨車,30,
2024-02-27 15:35,基隆端-基隆,南下,大客車,3,
2024-02-27 15:35,基隆端-基隆,南下,大貨車,3,
2024-02-27 15:35,基隆端-基隆,南下,聯結車,0,126.4
2024-02-27 15:35,八堵-基隆,北上,小客車,81,
2024-02-27 15:35,八堵-基隆,北上,小貨車,33,
2024-02-27 15:35,八堵-基隆,北上,大客車,5,
2024-02-27 15:35,八堵-基隆,北上,大貨車,3,
2024-02-27 15:35,八堵-基隆,北上,聯結車,2,128.0
2024-02-27 15:35,基隆-八堵,南下,小客車,77,
2024-02-27 15:35,基隆-八堵,南下,小貨車,29,
2024-02-27 15:35,基隆-八堵,南下,大客車,3,
2024-02-27 15:35,基隆-八堵,南下,大貨車,5,
2024-02-27 15:35,基隆-八堵,南下,聯結車,1,118.6
2024-02-27 15:35,大華系統-八堵,北上,小客車,93,
2024-02-27 15:35,大華系統-八堵,北上,小貨車,39,
2024-02-27 15:35,大華系統-八堵,北上,大客車,5,
2024-02-27 15:35,大華系統-八堵,北上,大貨車,6,
2024-02-27 15:35,大華系統-八堵,北上,聯結車,3,151.6
2024-02-27 15:35,八堵-大華系統,南下,小客車,96,
2024-02-27 15:35,八堵-大華系統,南下,小貨車,38,
2024-02-27 15:35,八堵-大華系統,南下,大客車,6,
2024-02-27 15:35,八堵-大華系統,南下,大貨車,5,
2024-02-27 15:35,八堵-大華系統,南下,聯結車,3,153.6
2024-02-27 15:35,五堵-大華系統,北上,小客車,168,
2024-02-27 15:35,五堵-大華系統,北上,小貨車,71,
2024-02-27 15:35,五堵-大華系統,北上,大客車,14,
2024-02-27 15:35,五堵-大華系統,北上,大貨車,8,
2024-02-27 15:35,五堵-大華系統,北上,聯結車,18,295.0
2024-02-27 15:35,大華系統-五堵,南下,小客車,162,
2024-02-27 15:35,大華系統-五堵,南下,小貨車,70,
2024-02-27 15:35,大華系統-五堵,南下,大客車,20,
2024-02-27 15:35,大華系統-五堵,南下,大貨車,10,
2024-02-27 15:35,大華系統-五堵,南下,聯結車,16,296.4
2024-02-27 15:35,汐止&汐止系統-五堵,北上,小客車,176,
2024-02-27 15:35,汐止&汐止系統-五堵,北上,小貨車,70,
2024-02-27 15:35,汐止&汐止系統-五堵,北上,大客車,8,
2024-02-27 15:35,汐止&汐止系統-五堵,北上,大貨車,6,
2024-02-27 15:35,汐止&汐止系統-五堵,北上,聯結車,17,289.4
2024-02-27 15:35,五堵-汐止&汐止系統,南下,小客車,184,
2024-02-27 15:35,五堵-汐止&汐止系統,南下,小貨車,62,
2024-02-27 15:35,五堵-汐止&汐止系統,南下,大客車,12,
2024-02-27 15:35,五堵-汐止&汐止系統,南下,大貨車,7,
2024-02-27 15:35,五堵-汐止&汐止系統,南下,聯結車,9,285.2
2024-02-27 15:35,東湖-汐止&汐止系統,北上,小客車,137,
2024-02-27 15:35,東湖-汐止&汐止系統,北上,小貨車,48,
2024-02-27 15:35,東湖-汐止&汐止系統,北上,大客車,3,
2024-02-27 15:35,東湖-汐止&汐止系統,北上,大貨車,15,
2024-02-27 15:35,東湖-汐止&汐止系統,北上,聯結車,16,232.6
2024-02-27 15:35,汐止&汐止系統-東湖,南下,小客車,149,
2024-02-27 15:35,汐止&汐止系統-東湖,南下,小貨車,45,
2024-02-27 15:35,汐止&汐止系統-東湖,南下,大客車,5,
2024-02-27 15:35,汐止&汐止系統-東湖,南下,大貨車,19,
2024-02-27 15:35,汐止&汐止系統-東湖,南下,聯結車,14,247.2
2024-02-27 15:35,內湖-東湖,北上,小客車,182,
2024-02-27 15:35,內湖-東湖,北上,小貨車,76,
2024-02-27 15:35,內湖-東湖,北上,大客車,2,
2024-02-27 15:35,內湖-東湖,北上,大貨車,20,
2024-02-27 15:35,內湖-東湖,北上,聯結車,14,308.4
2024-02-27 15:35,東湖-內湖,南下,小客車,215,
2024-02-27 15:35,東湖-內湖,南下,小貨車,71,
2024-02-27 15:35,東湖-內湖,南下,大客車,3,
2024-02-27 15:35,東湖-內湖,南下,大貨車,19,
2024-02-27 15:35,東湖-內湖,南下,聯結車,16,339.2
2024-02-27 15:35,內湖-圓山,南下,小客車,214,
2024-02-27 15:35,內湖-圓山,南下,小貨車,89,
2024-02-27 15:35,內湖-圓山,南下,大客車,2,
2024-02-27 15:35,內湖-圓山,南下,大貨車,26,
2024-02-27 15:35,內湖-圓山,南下,聯結車,16,364.6
2024-02-27 15:35,圓山-內湖,北上,小客車,171,
2024-02-27 15:35,圓山-內湖,北上,小貨車,61,
2024-02-27 15:35,圓山-內湖,北上,大客車,2,
