設施名稱,里程K+000,位置座標X,位置座標Y
基金交流道,0,121.714681,25.13971205
瑪東系統交流道,2,121.6986069,25.13004551
汐止系統交流道,10,121.6480549,25.08016789
新台五路交流道,12,121.6425683,25.06281779
南港交流道,14,121.628749,25.05100675
南港系統交流道,16,121.6200498,25.03529398
南深路出口匝道,16,121.6200498,25.03529398
木柵交流道,20,121.5965017,25.00875648
新店交流道,26,121.5549621,24.97427031
安坑交流道,31,121.5252566,24.96865002
中和交流道,35,121.4868045,24.9887648
土城交流道,42,121.4361862,24.96170103
樹林交流道,46,121.3995922,24.95089361
三鶯交流道,50,121.3619358,24.9406092
鶯歌系統交流道,54,121.329134,24.93958118
大溪交流道,62,121.266031,24.8952834
龍潭交流道,68,121.2234529,24.8617721
高原交流道,73,121.1995409,24.83092403
關西交流道,79,121.1730628,24.80053352
竹林交流道,90,121.0829846,24.76866511
寶山交流道,98,121.0088241,24.75677253
新竹系統交流道,100,120.9885134,24.75711923
茄苳交流道,103,120.9576164,24.75725888
香山交流道,109,120.91374,24.73721837
西濱交流道,115,120.8676647,24.70183271
竹南交流道,119,120.847279,24.67661075
大山交流道,124,120.8182026,24.63676896
後龍交流道,130,120.7870204,24.59925334
通霄交流道,144,120.7055211,24.49790841
苑裡交流道,156,120.6694987,24.39732167
大甲交流道,164,120.6437709,24.33727463
中港系統交流道,169,120.6130688,24.30711104
沙鹿交流道,176,120.5900314,24.25096587
龍井交流道,182,120.572291,24.19519566
和美交流道,191,120.5207077,24.14046817
彰化系統交流道,196,120.5518672,24.10797409
快官交流道,202,120.6041426,24.09179524
烏日交流道,207,120.6461103,24.06828569
中投交流道,209,120.6624508,24.06545564
霧峰交流道,211,120.6785888,24.05066631
霧峰系統交流道,214,120.6691513,24.02786015
草屯交流道,217,120.6524867,24.00565043
中興系統交流道,222,120.6542203,23.95887872
中興交流道,224,120.6689905,23.94896334
南投交流道,228,120.6842481,23.92232129
名間交流道,237,120.7024701,23.85260039
竹山交流道,243,120.7012041,23.79735525
南雲交流道,250,120.6591201,23.77450243
斗六交流道,260,120.5954791,23.73272937
古坑系統交流道,269,120.5745529,23.66602921
古坑交流道,271,120.5729451,23.64654377
梅山交流道,279,120.5231486,23.59595283
竹崎交流道,290,120.4847338,23.52003385
中埔交流道,297,120.4849251,23.45089183
水上系統交流道,300,120.4684944,23.42902458
白河交流道,311,120.4394474,23.34711778
柳營交流道,322,120.3790281,23.27130645
烏山頭交流道,329,120.3560043,23.21274771
官田系統交流道,334,120.3523075,23.16700324
善化交流道,340,120.3317873,23.12413627
新化系統交流道,346,120.3238624,23.06435416
關廟交流道,357,120.3246568,22.97682385
田寮交流道,369,120.3605616,22.88055704
燕巢系統交流道,383,120.4261674,22.78458401
九如交流道,391,120.4915654,22.75357583
屏東交流道,396,120.5251008,22.72022451
長治交流道,400,120.55436,22.69705129
麟洛交流道,407,120.5392706,22.64130018
竹田系統交流道,415,120.528088,22.57145209
崁頂交流道,421,120.5233114,22.52131735
南州交流道,424,120.5289523,22.49316594
林邊交流道,430,120.5060241,22.44551664
大鵬灣端,431,120.4977133,22.44140051
